Method;Start_X0;Start_X1;Opt_X0;Opt_X1;Func_Value;Func_Calls;Step_Size
Rosen;-0.533989;-0.912435;-0.774716;-0.774716;1,23967;177;0.11
Rosen;0.228551;-0.808403;-4.24455e-07;-0.774716;0,619837;177;0.11
Rosen;-0.945996;0.219017;-0.774716;3.75786e-07;0,619837;173;0.11
Rosen;0.519593;0.579126;0.774716;0.774716;1,23967;161;0.11
Rosen;0.870744;-0.0145601;0.774716;1.09045e-08;0,619837;177;0.11
Rosen;-0.391461;-0.910081;-7.50976e-08;-0.774716;0,619837;173;0.11
Rosen;0.337017;-0.888664;-3.59308e-07;-0.774716;0,619837;173;0.11
Rosen;0.125259;0.931148;-7.02176e-08;0.774715;0,619837;157;0.11
Rosen;-0.303422;0.408171;-1.27827e-07;0.774716;0,619837;181;0.11
Rosen;0.108144;-0.0811;-1.83393e-07;-3.91413e-07;5,95E-12;157;0.11
Rosen;-0.0155029;-0.377353;-1.32502e-09;6.02463e-07;1,16E-11;193;0.11
Rosen;-0.0422699;-0.738684;3.70037e-09;-0.774716;0,619837;181;0.11
Rosen;-0.743953;-0.809848;-0.774716;-0.774715;1,23967;181;0.11
Rosen;0.0490848;-0.0995207;-4.11458e-07;1.21165e-07;5,86E-12;161;0.11
Rosen;-0.83105;0.560494;-0.774716;0.774716;1,23967;177;0.11
Rosen;0.862718;-0.192857;0.774715;1.58626e-07;0,619837;149;0.11
Rosen;0.0867698;-0.345223;-1.03259e-07;-5.11523e-07;8,67E-12;177;0.11
Rosen;-0.0678615;-0.99051;-6.13862e-07;-0.774716;0,619837;177;0.11
Rosen;0.856154;0.62871;0.774716;0.774716;1,23967;165;0.11
Rosen;-0.579654;0.165765;-0.774715;-1.50115e-07;0,619837;173;0.11
Rosen;-0.613452;-0.900444;-0.774716;-0.774715;1,23967;145;0.11
Rosen;-0.829114;0.137985;-0.774716;-5.09783e-07;0,619837;177;0.11
Rosen;0.604649;0.746954;0.774715;0.774716;1,23967;161;0.11
Rosen;-0.300912;-0.385146;2.37248e-07;2.90444e-07;4,48E-12;161;0.11
Rosen;0.479936;-0.158346;0.774715;-3.01448e-08;0,619837;177;0.11
Rosen;-0.797115;-0.548555;-0.774716;-0.774716;1,23967;165;0.11
Rosen;-0.698264;0.817863;-0.774716;0.774715;1,23967;181;0.11
Rosen;0.678066;0.14445;0.774716;-3.44412e-08;0,619837;181;0.11
Rosen;0.541765;0.665304;0.774715;0.774716;1,23967;153;0.11
Rosen;0.673249;-0.251306;0.774716;-2.58258e-07;0,619837;133;0.11
Rosen;-0.258387;-0.277054;5.20451e-08;2.94492e-07;2,85E-12;173;0.11
Rosen;0.74849;0.0660004;0.774716;1.75021e-07;0,619837;177;0.11
Rosen;0.546522;0.47718;0.774716;0.774715;1,23967;169;0.11
Rosen;0.929578;-0.050678;0.774715;3.12959e-09;0,619837;177;0.11
Rosen;0.394226;0.111891;0.774716;-1.00197e-07;0,619837;149;0.11
Rosen;0.61026;0.403201;0.774716;0.774716;1,23967;177;0.11
Rosen;0.0900866;-0.718505;-8.778e-08;-0.774716;0,619837;161;0.11
Rosen;0.294283;0.65799;7.29103e-07;0.774715;0,619837;165;0.11
Rosen;0.631756;0.983983;0.774716;0.774715;1,23967;177;0.11
Rosen;0.442856;-0.791186;0.774716;-0.774716;1,23967;161;0.11
Rosen;0.468607;0.585573;0.774716;0.774716;1,23967;177;0.11
Rosen;-0.966053;-0.202321;-0.774715;-4.85466e-08;0,619837;177;0.11
Rosen;0.103822;0.00462799;-4.02098e-07;1.81512e-07;6,20E-12;161;0.11
Rosen;-0.404094;0.802374;4.5816e-07;0.774716;0,619837;141;0.11
Rosen;0.347301;0.960214;4.03845e-07;0.774715;0,619837;189;0.11
Rosen;0.71363;0.599207;0.774716;0.774716;1,23967;161;0.11
Rosen;0.78478;0.613966;0.774716;0.774716;1,23967;165;0.11
Rosen;0.616114;0.248634;0.774716;-3.20302e-07;0,619837;161;0.11
Rosen;-0.228887;0.363765;-2.41616e-07;0.774715;0,619837;161;0.11
Rosen;0.82926;0.954781;0.774716;0.774716;1,23967;205;0.11
Rosen;0.252653;-0.727635;-2.84008e-07;-0.774716;0,619837;193;0.11
Rosen;-0.743904;0.0622492;-0.774715;-1.77434e-07;0,619837;165;0.11
Rosen;0.52489;-0.487527;0.774716;-0.774715;1,23967;165;0.11
Rosen;-0.416704;0.799884;2.1916e-07;0.774716;0,619837;157;0.11
Rosen;0.464832;-0.0849752;0.774715;-6.87074e-08;0,619837;177;0.11
Rosen;-0.334651;-0.910207;-4.06856e-07;-0.774716;0,619837;177;0.11
Rosen;-0.494974;0.974009;-0.774715;0.774715;1,23967;157;0.11
Rosen;0.445317;0.0834399;0.774716;3.22869e-08;0,619837;161;0.11
Rosen;0.402486;-0.138437;0.774716;-1.47283e-07;0,619837;181;0.11
Rosen;-0.366881;0.144088;-4.15604e-07;7.47945e-09;5,50E-12;189;0.11
Rosen;-0.972275;0.341667;-0.774716;-6.80163e-07;0,619837;213;0.11
Rosen;-0.507425;-0.557577;-0.774716;-0.774715;1,23967;173;0.11
Rosen;-0.0757701;-0.856968;3.79627e-07;-0.774716;0,619837;153;0.11
Rosen;-0.0804697;0.222278;-7.05317e-08;1.56226e-07;9,36E-13;181;0.11
Rosen;0.997307;0.281854;0.774716;-5.23231e-07;0,619837;193;0.11
Rosen;0.159703;-0.823596;3.02253e-07;-0.774716;0,619837;161;0.11
Rosen;0.521575;-0.115307;0.774716;4.18737e-08;0,619837;189;0.11
Rosen;0.527961;0.771761;0.774715;0.774716;1,23967;165;0.11
Rosen;0.464767;-0.656284;0.774716;-0.774716;1,23967;173;0.11
Rosen;0.628868;-0.435764;0.774716;3.76036e-07;0,619837;157;0.11
Rosen;0.125114;-0.781612;-2.24759e-07;-0.774716;0,619837;165;0.11
Rosen;0.726977;0.739961;0.774716;0.774716;1,23967;161;0.11
Rosen;0.249056;-0.397172;-8.07379e-08;3.78326e-07;4,77E-12;193;0.11
Rosen;-0.828666;0.954643;-0.774716;0.774716;1,23967;181;0.11
Rosen;0.769189;0.531059;0.774715;0.774716;1,23967;145;0.11
Rosen;-0.377588;-0.448043;1.12275e-07;6.08947e-07;1,22E-11;165;0.11
Rosen;-0.620868;-0.043866;-0.774715;1.31469e-08;0,619837;181;0.11
Rosen;-0.558283;0.830974;-0.774716;0.774716;1,23967;189;0.11
Rosen;0.50689;0.00424168;0.774715;5.74099e-08;0,619837;165;0.11
Rosen;-0.996231;-0.339466;-0.774716;4.91623e-07;0,619837;181;0.11
Rosen;-0.938656;-0.916147;-0.774716;-0.774716;1,23967;161;0.11
Rosen;-0.0802127;-0.757068;-1.89959e-07;-0.774716;0,619837;161;0.11
Rosen;0.591617;0.0463801;0.774715;-1.48605e-07;0,619837;161;0.11
Rosen;0.38559;-0.467398;0.774715;3.75843e-07;0,619837;177;0.11
Rosen;-0.388517;0.578215;-2.42406e-07;0.774716;0,619837;177;0.11
Rosen;-0.638335;-0.522287;-0.774716;-0.774716;1,23967;197;0.11
Rosen;-0.635924;0.0713949;-0.774715;3.09855e-07;0,619837;177;0.11
Rosen;-0.165327;0.825873;1.97408e-07;0.774716;0,619837;157;0.11
Rosen;0.539597;-0.680632;0.774716;-0.774716;1,23967;177;0.11
Rosen;-0.55294;0.879721;-0.774716;0.774716;1,23967;145;0.11
Rosen;0.000799299;0.11413;-1.90358e-08;-5.04508e-07;8,12E-12;165;0.11
Rosen;-0.762906;0.283108;-0.774716;5.92029e-07;0,619837;165;0.11
Rosen;-0.611925;0.596717;-0.774716;0.774715;1,23967;161;0.11
Rosen;0.333744;-0.62915;-4.50451e-07;-0.774716;0,619837;193;0.11
Rosen;0.317556;-0.209634;-7.39443e-07;1.22355e-07;1,79E-11;181;0.11
Rosen;0.430698;0.312085;0.774716;2.42493e-07;0,619837;181;0.11
Rosen;0.564907;-0.76492;0.774715;-0.774716;1,23967;141;0.11
HJ;-0.249794;0.556393;-6.55473e-07;0.774716;0,619837;126;0.22
HJ;0.732649;0.489722;0.774716;0.774716;1,23967;144;0.22
HJ;-0.449301;0.73847;4.3133e-07;0.774716;0,619837;126;0.22
HJ;-0.533989;-0.912435;-0.774716;-0.774715;1,23967;137;0.22
HJ;0.228551;-0.808403;5.41663e-07;-0.774716;0,619837;115;0.22
HJ;-0.945996;0.219017;-0.774716;-1.92996e-07;0,619837;124;0.22
HJ;0.519593;0.579126;0.774716;0.774715;1,23967;119;0.22
HJ;0.870744;-0.0145601;0.774716;-4.1072e-08;0,619837;127;0.22
HJ;-0.391461;-0.910081;6.03284e-07;-0.774716;0,619837;147;0.22
HJ;0.337017;-0.888664;0.774716;-0.774716;1,23967;127;0.22
HJ;0.125259;0.931148;-6.04271e-07;0.774716;0,619837;136;0.22
HJ;-0.303422;0.408171;-1.06288e-07;0.774715;0,619837;140;0.22
HJ;0.108144;-0.0811;-6.75635e-07;5.81664e-07;2,53E-11;128;0.22
HJ;-0.0155029;-0.377353;-8.99553e-08;6.72175e-07;1,46E-11;123;0.22
HJ;-0.0422699;-0.738684;6.84846e-07;-0.774716;0,619837;136;0.22
HJ;-0.743953;-0.809848;-0.774715;-0.774716;1,23967;128;0.22
HJ;0.0490848;-0.0995207;-1.58575e-07;-4.68518e-07;7,79E-12;123;0.22
HJ;-0.83105;0.560494;-0.774715;0.774716;1,23967;121;0.22
HJ;0.862718;-0.192857;0.774716;-1.08514e-07;0,619837;137;0.22
HJ;0.0867698;-0.345223;4.06506e-07;-2.87827e-07;7,90E-12;132;0.22
HJ;-0.0678615;-0.99051;1.01683e-07;-0.774716;0,619837;135;0.22
HJ;0.856154;0.62871;0.774716;0.774716;1,23967;163;0.22
HJ;-0.579654;0.165765;-0.774716;-1.72292e-07;0,619837;129;0.22
HJ;-0.613452;-0.900444;-0.774716;-0.774716;1,23967;143;0.22
HJ;-0.829114;0.137985;-0.774715;6.25891e-07;0,619837;135;0.22
HJ;0.604649;0.746954;0.774715;0.774716;1,23967;131;0.22
HJ;-0.300912;-0.385146;-2.88227e-07;-1.54624e-08;2,65E-12;115;0.22
HJ;0.479936;-0.158346;0.774715;-4.03139e-07;0,619837;139;0.22
HJ;-0.797115;-0.548555;-0.774716;-0.774715;1,23967;141;0.22
HJ;-0.698264;0.817863;-0.774715;0.774716;1,23967;137;0.22
HJ;0.678066;0.14445;0.774716;1.80099e-07;0,619837;141;0.22
HJ;0.541765;0.665304;0.774716;0.774715;1,23967;130;0.22
HJ;0.673249;-0.251306;0.774716;4.40245e-07;0,619837;126;0.22
HJ;-0.258387;-0.277054;9.17394e-08;1.20462e-07;7,30E-13;132;0.22
HJ;0.74849;0.0660004;0.774716;2.56872e-07;0,619837;135;0.22
HJ;0.546522;0.47718;0.774716;0.774716;1,23967;122;0.22
HJ;0.929578;-0.050678;0.774715;5.51476e-07;0,619837;130;0.22
HJ;0.394226;0.111891;0.774716;-1.75616e-08;0,619837;132;0.22
HJ;0.61026;0.403201;0.774716;0.774716;1,23967;161;0.22
HJ;0.0900866;-0.718505;-1.75579e-07;-0.774716;0,619837;124;0.22
HJ;0.294283;0.65799;4.38316e-07;0.774715;0,619837;141;0.22
HJ;0.631756;0.983983;0.774715;0.774715;1,23967;127;0.22
HJ;0.442856;-0.791186;0.774716;-0.774716;1,23967;116;0.22
HJ;0.468607;0.585573;0.774716;0.774716;1,23967;145;0.22
HJ;-0.966053;-0.202321;-0.774716;5.28427e-07;0,619837;135;0.22
HJ;0.103822;0.00462799;-8.30186e-08;-6.18662e-07;1,24E-11;114;0.22
HJ;-0.404094;0.802374;1.7693e-07;0.774716;0,619837;115;0.22
HJ;0.347301;0.960214;0.774715;0.774715;1,23967;144;0.22
HJ;0.71363;0.599207;0.774716;0.774715;1,23967;127;0.22
HJ;0.78478;0.613966;0.774716;0.774716;1,23967;135;0.22
HJ;0.616114;0.248634;0.774716;1.99649e-07;0,619837;127;0.22
HJ;-0.228887;0.363765;-1.67843e-07;6.71297e-07;1,52E-11;122;0.22
HJ;0.82926;0.954781;0.774716;0.774716;1,23967;136;0.22
HJ;0.252653;-0.727635;3.17814e-07;-0.774716;0,619837;133;0.22
HJ;-0.743904;0.0622492;-0.774716;-1.33147e-07;0,619837;146;0.22
HJ;0.52489;-0.487527;0.774716;-0.774716;1,23967;152;0.22
HJ;-0.416704;0.799884;2.51904e-07;0.774716;0,619837;137;0.22
HJ;0.464832;-0.0849752;0.774716;2.19844e-07;0,619837;136;0.22
HJ;-0.334651;-0.910207;-3.94908e-08;-0.774716;0,619837;159;0.22
HJ;-0.494974;0.974009;-3.17779e-07;0.774715;0,619837;121;0.22
HJ;0.445317;0.0834399;0.774715;-3.67367e-07;0,619837;149;0.22
HJ;0.402486;-0.138437;0.774716;-1.49518e-07;0,619837;151;0.22
HJ;-0.366881;0.144088;-2.87225e-07;1.64532e-08;2,64E-12;148;0.22
HJ;-0.972275;0.341667;-0.774716;9.78511e-08;0,619837;137;0.22
HJ;-0.507425;-0.557577;-6.29412e-08;-0.774716;0,619837;157;0.22
HJ;-0.0757701;-0.856968;5.36579e-07;-0.774715;0,619837;148;0.22
HJ;-0.0804697;0.222278;-5.59381e-07;1.81635e-07;1,10E-11;123;0.22
HJ;0.997307;0.281854;0.774716;3.45831e-07;0,619837;137;0.22
HJ;0.159703;-0.823596;-3.06347e-07;-0.774715;0,619837;150;0.22
HJ;0.521575;-0.115307;0.774716;-3.62495e-07;0,619837;133;0.22
HJ;0.527961;0.771761;0.774716;0.774716;1,23967;130;0.22
HJ;0.464767;-0.656284;0.774715;-0.774716;1,23967;123;0.22
HJ;0.628868;-0.435764;0.774716;-2.30423e-07;0,619837;131;0.22
HJ;0.125114;-0.781612;5.02236e-08;-0.774716;0,619837;132;0.22
HJ;0.726977;0.739961;0.774715;0.774715;1,23967;122;0.22
HJ;0.249056;-0.397172;-3.35357e-07;1.11122e-07;3,97E-12;142;0.22
HJ;-0.828666;0.954643;-0.774716;0.774715;1,23967;122;0.22
HJ;0.769189;0.531059;0.774716;0.774716;1,23967;139;0.22
HJ;-0.377588;-0.448043;-1.06105e-07;-6.19789e-07;1,26E-11;142;0.22
HJ;-0.620868;-0.043866;-0.774716;-1.31827e-07;0,619837;144;0.22
HJ;-0.558283;0.830974;-0.774716;0.774715;1,23967;119;0.22
HJ;0.50689;0.00424168;0.774716;4.2655e-07;0,619837;110;0.22
HJ;-0.996231;-0.339466;-0.774716;4.74891e-07;0,619837;122;0.22
HJ;-0.938656;-0.916147;-0.774716;-0.774716;1,23967;129;0.22
HJ;-0.0802127;-0.757068;6.40955e-07;-0.774716;0,619837;131;0.22
HJ;0.591617;0.0463801;0.774715;2.35144e-07;0,619837;115;0.22
HJ;0.38559;-0.467398;0.774715;-0.774716;1,23967;133;0.22
HJ;-0.388517;0.578215;-1.95404e-07;0.774715;0,619837;131;0.22
HJ;-0.638335;-0.522287;-0.774716;-0.774716;1,23967;137;0.22
HJ;-0.635924;0.0713949;-0.774715;2.96659e-07;0,619837;147;0.22
HJ;-0.165327;0.825873;-5.40661e-07;0.774716;0,619837;136;0.22
HJ;0.539597;-0.680632;0.774716;-0.774716;1,23967;117;0.22
HJ;-0.55294;0.879721;-0.774716;0.774716;1,23967;137;0.22
HJ;0.000799299;0.11413;-4.79258e-07;9.22951e-08;7,59E-12;117;0.22
HJ;-0.762906;0.283108;-0.774716;-6.41634e-07;0,619837;120;0.22
HJ;-0.611925;0.596717;-0.774715;0.774715;1,23967;146;0.22
HJ;0.333744;-0.62915;0.774716;-0.774716;1,23967;123;0.22
HJ;0.317556;-0.209634;0.774715;5.10916e-07;0,619837;126;0.22
HJ;0.430698;0.312085;0.774715;4.92576e-07;0,619837;141;0.22
HJ;0.564907;-0.76492;0.774716;-0.774716;1,23967;118;0.22
Rosen;-0.249794;0.556393;2.1967e-07;0.774716;0,619837;161;0.22
Rosen;0.732649;0.489722;0.774716;0.774716;1,23967;197;0.22
Rosen;-0.449301;0.73847;-3.32413e-07;0.774716;0,619837;165;0.22
Rosen;-0.533989;-0.912435;-0.774716;-0.774716;1,23967;181;0.22
Rosen;0.228551;-0.808403;1.16999e-07;-0.774715;0,619837;185;0.22
Rosen;-0.945996;0.219017;-0.774716;-3.86848e-09;0,619837;181;0.22
Rosen;0.519593;0.579126;0.774716;0.774715;1,23967;169;0.22
Rosen;0.870744;-0.0145601;0.774716;-1.5454e-07;0,619837;169;0.22
Rosen;-0.391461;-0.910081;1.9336e-08;-0.774716;0,619837;193;0.22
